nom,brillance,masse,rayon,rayonOrbite,periodeOrbite,excentricite,type
11 Comae Berenices b,4.72307,6169.2,75503.88,1.29,0.8925394,0.23,Gas Giant
11 Ursae Minoris b,5.013,4687.32,76202.99,1.53,1.4,0.08,Gas Giant
14 Andromedae b,5.23133,1526.3999999999999,80397.65,0.83,0.5086927,0.0,Gas Giant
14 Herculis b,6.61935,2588.14158,78300.32,2.773069,4.8,0.37,Gas Giant
16 Cygni B b,6.215,566.04,83893.2,1.66,2.2,0.68,Gas Giant
17 Scorpii b,5.22606,1373.76,80397.65,1.45,1.6,0.06,Gas Giant
18 Delphini b,5.51048,3275.4,77601.21,2.6,2.7,0.08,Gas Giant
1RXS J160929.1-210524 b,12.618,2544.0,116331.904,330.0,6505.9,0.0,Gas Giant
24 Bootis b,5.59,289.38,86689.64,0.19,0.08323066,0.04,Gas Giant
24 Sextantis b,6.4535,632.82,83194.09,1.333,1.2396988,0.09,Gas Giant
24 Sextantis c,6.4535,273.48,86689.64,2.08,2.4,0.29,Gas Giant
2M0437 b,16.186,1272.0,81096.76,118.0,3110.6,0.0,Gas Giant
2MASS J01033563-5515561 AB b,15.788,4134.0,76902.1,84.0,1767.2,0.0,Gas Giant
2MASS J01225093-2439505 b,14.244,7791.0,69911.0,52.0,593.2,0.0,Gas Giant
2MASS J02192210-3925225 b,,4420.2,100671.84,156.0,5878.1,0.0,Gas Giant
2MASS J04414489+2301513 b,,2385.0,78999.43,15.0,411.0,0.0,Gas Giant
2MASS J12073346-3932539 b,20.15,1590.0,80397.65,55.0,2885.9,0.0,Gas Giant
2MASS J19383260+4603591 b,12.651,604.1999999999999,83893.2,0.92,1.1115674,0.33,Gas Giant
2MASS J22362452+4751425 b,12.368,3975.0,76902.1,230.0,4505.7,0.0,Gas Giant
30 Arietis B b,7.09209,4394.76,76902.1,0.99,0.9174538,0.29,Gas Giant
42 Draconis b,4.8262,1233.84,81096.76,1.19,1.3117043,0.38,Gas Giant
47 Ursae Majoris b,5.03352,804.54,82494.98,2.1,3.0,0.03,Gas Giant
47 Ursae Majoris c,5.03352,171.72,88786.97,3.6,6.6,0.1,Gas Giant
47 Ursae Majoris d,5.03352,521.52,83893.2,11.6,38.4,0.16,Gas Giant
4 Ursae Majoris b,4.5801,2257.7999999999997,78999.43,0.87,0.7373032,0.43,Gas Giant
51 Eridani b,5.21149,636.0,83194.09,13.2,32.0,0.45,Gas Giant
51 Pegasi b,5.45309,146.28,88786.97,0.0527,0.011498973,0.01,Gas Giant
55 Cancri b,5.95084,264.1308,86689.64,0.1134,0.040246405,0.0,Gas Giant
55 Cancri c,5.95084,54.5052,53132.36,0.2373,0.12156058,0.03,Gas Giant
55 Cancri d,5.95084,1233.204,81096.76,5.957,15.3,0.13,Gas Giant
55 Cancri e,5.95084,7.99,11945.625,0.01544,0.0019164955,0.05,Super Earth
55 Cancri f,5.95084,44.837999999999994,47329.747,0.7708,0.7115674,0.08,Gas Giant
61 Virginis b,4.6955,5.1,13442.81,0.050201,0.011498973,0.12,Neptune-like
61 Virginis c,4.6955,18.2,27824.578,0.2175,0.10403833,0.14,Neptune-like
61 Virginis d,4.6955,22.9,31879.416,0.476,0.33675563,0.35,Neptune-like
6 Lyncis b,5.87307,639.18,83194.09,2.11,2.6,0.07,Gas Giant
70 Virginis b,4.96808,2381.82,78999.43,0.481,0.31950718,0.4,Gas Giant
75 Ceti b,5.3532,954.0,81795.87,2.1,1.9,0.12,Gas Giant
7 Canis Majoris b,3.95,588.3000000000001,83893.2,1.758,2.0,0.06,Gas Giant
7 Canis Majoris c,3.95,276.66,86689.64,2.153,2.7,0.08,Gas Giant
81 Ceti b,5.64307,1685.3999999999999,79698.54,2.5,2.6,0.21,Gas Giant
8 Ursae Minoris b,6.83295,416.58000000000004,85291.42,0.49,0.25571528,0.06,Gas Giant
91 Aquarii b,4.23946,1017.6,81795.87,0.7,0.4966461,0.03,Gas Giant
AB Aurigae b,7.076,2862.0,78300.32,93.9,587.7,0.4,Gas Giant
AB Pictoris b,9.13,4293.0,76902.1,260.0,4421.7,0.0,Gas Giant
Alpha Arietis b,2.00538,572.4,83893.2,1.2,1.0425736,0.25,Gas Giant
Alpha Tauri b,0.872,2057.46,78999.43,1.46,1.7,0.1,Gas Giant
AU Microscopii b,8.81,20.12,25377.693,0.0645,0.023271732,0.19,Neptune-like
AU Microscopii c,8.81,9.6,20204.279,0.1101,0.051745377,0.04,Neptune-like
b Centauri AB b,4.01,3466.2000000000003,77601.21,556.0,4904.1,0.4,Gas Giant
BD-00 4475 b,9.01,7965.900000000001,74804.77,1.48,2.0,0.39,Gas Giant
BD+03 2562 b,9.577,2035.2,78999.43,1.3,1.3193703,0.2,Gas Giant
BD-06 1339 b,9.7,8.5,17757.394,0.0428,0.010677618,0.0,Neptune-like
BD-06 1339 c,9.7,54.06,52223.517,0.435,0.34469542,0.31,Gas Giant
BD-08 2823 b,9.86,12.7132,22511.342,0.06,0.015331964,0.15,Neptune-like
BD-08 2823 c,9.86,104.94000000000001,77601.21,0.68,0.65051335,0.19,Gas Giant
BD-10 3166 b,10.013,187.61999999999998,88087.86,0.04,0.009582478,0.02,Gas Giant
BD-11 4672 b,10.03,206.70000000000002,87388.75,2.36,4.5,0.05,Gas Giant
BD-11 4672 c,10.03,15.37,25167.96,0.3,0.20314851,0.4,Neptune-like
BD-13 2130 b,10.038,3110.04,77601.21,1.66,2.0,0.21,Gas Giant
BD+14 4559 b,9.78,330.72,85990.53,0.78,0.7362081,0.29,Gas Giant
BD+15 2375 b,10.41,337.39799999999997,85990.53,0.576,0.41943872,0.0,Gas Giant
BD+15 2940 b,9.01,352.98,85990.53,0.539,0.37645447,0.26,Gas Giant
BD-17 63 b,9.62,1621.8,80397.65,1.34,1.8,0.54,Gas Giant
BD+20 2457 b,9.743,17677.620000000003,72008.33,1.05,1.0392882,0.15,Gas Giant
BD+20 2457 c,9.743,3965.46,76902.1,2.01,1.7,0.18,Gas Giant
BD+20 274 b,9.367,1335.6000000000001,81096.76,1.3,1.6,0.21,Gas Giant
BD+20 594 b,10.849,22.2481,16079.53,0.241,0.11416838,0.0,Neptune-like
BD+45 564 b,9.67,432.48,84592.31,0.83,0.84298426,0.12,Gas Giant
BD+48 738 b,9.139,289.38,86689.64,1.0,1.0748802,0.2,Gas Giant
BD+48 740 b,8.69,540.6,83893.2,1.7,2.0,0.76,Gas Giant
BD+49 828 b,9.381,508.8,84592.31,4.2,7.1,0.35,Gas Giant
BD+55 362 b,9.38,228.95999999999998,87388.75,0.78,0.7271732,0.27,Gas Giant
BD+60 1417 b,9.374,4770.0,91583.41,1662.0,67794.6,0.0,Gas Giant
BD+63 1405 b,8.96,1259.28,81096.76,2.06,3.3,0.88,Gas Giant
Beta Cancri b,3.51012,2480.4,78300.32,1.7,1.7,0.08,Gas Giant
Beta Pictoris b,3.85,3731.13534,115353.15,10.019926,23.6,0.11,Gas Giant
Beta Pictoris c,3.85,3224.8761600000003,77601.21,2.680483,3.3,0.31,Gas Giant
Beta Ursae Minoris b,2.0569,1939.8,79698.54,1.4,1.4,0.19,Gas Giant
CD Ceti b,13.95,3.95,11595.220000000001,0.0185,0.0062970566,0.0,Super Earth
CFBDSIR J145829+101343 b,,3339.0,77601.21,2.6,27.5,0.0,Gas Giant
CFHTWIR-Oph 98 b,,2480.4,130034.46,200.0,22027.4,0.0,Gas Giant
CHXR 73 b,,3996.9420000000005,76902.1,210.0,5146.9,0.0,Gas Giant
CI Tauri b,13.642,3688.7999999999997,77601.21,,0.024640657,0.25,Gas Giant
COCONUTS-2 b,11.298,2003.3999999999999,77601.21,7506.0,1101369.9,0.0,Gas Giant
CoRoT-10 b,15.293,874.5,67813.67,0.1055,0.03613963,0.53,Gas Giant
CoRoT-11 b,12.897,740.94,99972.73,0.0436,0.008213553,0.0,Gas Giant
CoRoT-12 b,15.588,291.606,100671.84,0.04016,0.007665982,0.07,Gas Giant
CoRoT-13 b,15.005,415.944,61871.235,0.051,0.0109514035,0.0,Gas Giant
CoRoT-14 b,15.932,2416.7999999999997,76202.99,0.027,0.0041067763,0.0,Gas Giant
CoRoT-16 b,16.052,170.13000000000002,81795.87,0.0618,0.014784395,0.33,Gas Giant
CoRoT-17 b,16.29,772.74,71309.22,0.0461,0.010403832,0.0,Gas Giant
CoRoT-18 b,14.868,1103.46,91583.41,0.0295,0.005201916,0.08,Gas Giant
CoRoT-19 b,14.135,352.98,90185.19,0.0518,0.010677618,0.05,Gas Giant
CoRoT-1 b,13.623,327.54,104167.39,0.02752,0.0041067763,0.0,Gas Giant
CoRoT-20 b,14.63,1367.3999999999999,58725.24,0.09,0.025188226,0.59,Gas Giant
CoRoT-20 c,14.63,5406.0,76202.99,2.9,4.6,0.6,Gas Giant
CoRoT-21 b,16.058,718.68,90884.3,0.0417,0.0073921974,0.0,Gas Giant
CoRoT-22 b,13.82,12.2,30411.285,0.092,0.026830938,0.08,Neptune-like
CoRoT-23 b,15.675,890.4,73406.55,0.048,0.009856262,0.16,Gas Giant
CoRoT-24 b,15.383,5.7,23070.63,0.056,0.013963039,0.0,Neptune-like
CoRoT-24 c,15.383,28.0,30760.84,0.098,0.03230664,0.0,Neptune-like
CoRoT-25 b,14.79,85.86,75503.88,0.0578,0.013415469,0.0,Gas Giant
CoRoT-26 b,15.861,165.36,88087.86,0.0526,0.011498973,0.0,Gas Giant
CoRoT-27 b,15.774,3304.02,70400.377,0.0476,0.009856262,0.065,Gas Giant
CoRoT-28 b,13.783,153.912,66765.00499999999,0.0603,0.014236824,0.05,Gas Giant
CoRoT-29 b,15.408,270.3,62919.9,0.0386,0.007939767,0.08,Gas Giant
CoRoT-2 b,12.516,1103.46,102489.526,0.02798,0.0046543465,0.01,Gas Giant
CoRoT-30 b,15.571,922.1999999999999,70540.199,0.0844,0.024914443,0.01,Gas Giant
CoRoT-31 b,15.479,267.12,102070.06,0.0586,0.012594113,0.02,Gas Giant
CoRoT-35 b,15.635,349.8,117450.48,0.0429,0.008761123,0.0,Gas Giant
CoRoT-36 b,13.126,216.24,98574.51,0.066,0.015331964,0.0,Gas Giant
CoRoT-3 b,13.448,6887.88,70610.11,0.05783,0.011772759,0.0,Gas Giant
CoRoT-4 b,13.652,228.95999999999998,83194.09,0.09,0.025188226,0.0,Gas Giant
CoRoT-5 b,14.043,148.506,97036.468,0.04947,0.0109514035,0.09,Gas Giant
CoRoT-6 b,13.961,941.28,81516.226,0.0855,0.02436687,0.1,Gas Giant
CoRoT-7 b,11.728,4.07661,10709.651,0.017016,0.0024640656,0.0,Super Earth
CoRoT-7 c,11.728,8.4,17687.483,0.046,0.010130048,0.0,Neptune-like
CoRoT-7 d,11.728,17.142,26845.824,,0.024640657,0.0,Neptune-like
CoRoT-8 b,14.792,69.96,39849.27,0.063,0.016974675,0.0,Gas Giant
CoRoT-9 b,13.637,267.12,74525.126,0.4021,0.2609172,0.13,Gas Giant
CoRoTID 223977153 b,13.626,47.699999999999996,39849.27,0.071,0.0183436,0.0,Gas Giant
CT Chamaleontis b,12.335,5406.0,153804.2,440.0,0.99931556,0.0,Gas Giant
DE Canum Venaticorum b,12.956,3825.3174,76902.1,5.75,11.2,0.0,Gas Giant
DENIS-P J082303.1-491201 b,,9063.0,74105.66,0.36,0.67460644,0.35,Gas Giant
DH Tauri b,13.98,3498.0,188759.7,330.0,10441.5,0.0,Gas Giant
DMPP-1 b,7.98,24.27,32997.992,0.1462,0.050924025,0.083,Neptune-like
DMPP-1 c,7.98,9.6,19085.703,0.0733,0.018069815,0.057,Neptune-like
DMPP-1 d,7.98,3.35,10512.15,0.0422,0.007939767,0.07,Super Earth
DMPP-1 e,7.98,4.13,11850.060000000001,0.0651,0.015058179,0.07,Super Earth
DMPP-2 b,8.57,138.966,89486.08,0.0664,0.014236824,0.08,Gas Giant
DMPP-3 A b,9.066,2.58,8983.109999999999,0.0662,0.0183436,0.14,Super Earth
DP Leonis b,18.6837,1997.0400000000002,79698.54,8.19,28.0,0.39,Gas Giant
DS Tucanae A b,8.17,413.40000000000003,35584.699,,0.022176592,0.0,Neptune-like
EPIC 201170410.02,17.6984,1.15,6670.437,0.0349,0.018617386,0.0,Super Earth
EPIC 201238110 b,16.014,4.16,11913.77,,0.077207394,0.0,Super Earth
EPIC 201427007 b,14.321,2.86,9556.5,,0.0019164955,0.0,Super Earth
EPIC 201497682 b,13.948,0.26,4408.732,,0.0057494864,0.0,Terrestrial
EPIC 201595106 b,11.746,2.24,8282.300000000001,,0.0024640656,0.0,Super Earth
EPIC 201615463 c,12.081,1.98,7772.62,,0.010403832,0.0,Super Earth
EPIC 201754305 d,14.668,1.08,6562.13,,0.0073921974,0.0,Super Earth
EPIC 201757695.02,14.974,0.688,5784.868,0.0296,0.0054757018,0.0,Terrestrial
EPIC 201833600 c,14.705,0.972,6371.0,,0.0109514035,0.0,Terrestrial
EPIC 201841433 b,14.983,1.12,6625.84,0.035,0.011498973,0.0,Super Earth
EPIC 205950854 c,12.365,2.27,8346.01,,0.022176592,0.0,Super Earth
EPIC 206024342 b,13.096,3.53,10830.699999999999,,0.0123203285,0.0,Super Earth
EPIC 206024342 c,13.096,2.54,8919.4,,0.0024640656,0.0,Super Earth
EPIC 206024342 d,13.096,7.27,16219.352,,0.039972622,0.0,Neptune-like
EPIC 206032309 b,17.89,1.01,6434.71,,0.007939767,0.0,Super Earth
EPIC 206042996 b,16.59,3.53,10830.699999999999,,0.01451061,0.0,Super Earth
EPIC 206042996 c,16.59,1.87,7645.2,,0.0010951404,0.0,Super Earth
EPIC 206215704 b,17.83,0.972,6371.0,,0.0062970566,0.0,Terrestrial
EPIC 206317286 b,14.005,0.84,6116.16,,0.0043805614,0.0,Terrestrial
EPIC 206317286 c,14.005,5.03,13340.874,,0.04791239,0.0,Super Earth
EPIC 211822797 b,15.133,4.35,12232.32,0.1195,0.05804244,0.06,Super Earth
EPIC 211945201 b,10.154,27.0,35934.254,0.1493,0.05338809,0.0,Neptune-like
EPIC 212297394 b,14.611,2.79,9429.08,,0.0062970566,0.0,Super Earth
EPIC 212297394 c,14.611,5.77,14191.933,,0.014236824,0.0,Neptune-like
EPIC 212424622 b,13.441,5.35,13825.07,,0.0495551,0.0,Neptune-like
EPIC 212499991 b,13.672,3.19,10193.6,,0.095551,0.0,Super Earth
EPIC 212587672 b,12.488,2.13,8027.46,,0.041889116,0.0,Super Earth
EPIC 212587672 c,12.488,5.99,14471.577,,0.06351814,0.0,Neptune-like
EPIC 212624936 b,13.976,1.87,7645.2,,0.0016427105,0.0,Super Earth
EPIC 212624936 c,13.976,5.9,14331.755,,0.03230664,0.0,Neptune-like
EPIC 212737443 b,14.81,7.2,16149.441,0.098,0.037234772,0.2,Neptune-like
EPIC 212737443 c,14.81,7.7,16778.64,0.28,0.17960301,0.2,Neptune-like
EPIC 220492298 b,13.991,0.937,6307.29,,0.0021902807,0.0,Terrestrial
EPIC 220554210 c,14.21,3.19,10193.6,,0.0019164955,0.0,Super Earth
EPIC 220674823 b,12.101,7.72,10193.6,0.01312,0.0016427105,0.0,Super Earth
EPIC 220674823 c,12.101,5.8,14016.2,0.1091,0.036413416,0.18,Neptune-like
EPIC 228836835 b,16.77,1.37,7008.1,,0.0019164955,0.0,Super Earth
EPIC 246851721 b,11.237,954.0,73476.461,0.07229,0.016974675,0.0,Gas Giant
EPIC 248847494 b,12.353,4134.0,77601.21,4.5,10.0,0.0,Gas Giant
EPIC 249893012 b,11.429,8.75,12423.449999999999,0.047,0.009856262,0.06,Super Earth
EPIC 249893012 c,11.429,14.67,22860.897,0.13,0.042710472,0.07,Neptune-like
EPIC 249893012 d,11.429,10.18,24608.672,0.22,0.097741276,0.15,Neptune-like
Epsilon Coronae Borealis b,4.12577,2130.6,78999.43,1.3,1.1441479,0.11,Gas Giant
Epsilon Eridani b,3.71548,209.88000000000002,87388.75,3.53,7.3,0.07,Gas Giant
Epsilon Indi A b,4.69,1033.5,81795.87,11.55,45.2,0.26,Gas Giant
Epsilon Tauri b,3.523,2416.7999999999997,78999.43,1.93,1.6,0.15,Gas Giant
FU Tauri b,,5088.0,76202.99,800.0,101250.8,0.0,Gas Giant
G 264-012 b,13.078,2.5,8855.689999999999,0.02279,0.0062970566,0.0,Super Earth
G 264-012 c,13.078,3.75,11212.960000000001,0.0525,0.022176592,0.0,Super Earth
G 9-40 b,13.821,4.76,12901.275,0.0385,0.015605749,0.0,Super Earth
Gaia-1 b,13.242,534.24,85920.619,0.04047,0.008487337,0.0,Gas Giant
Gaia-2 b,11.277,259.806,92422.342,0.0467,0.010130048,0.0,Gas Giant
gam1 Leonis b,1.99509,2792.04,78300.32,1.19,1.173169,0.14,Gas Giant
Gamma Cephei b,3.23006,2989.2000000000003,78300.32,2.05,2.5,0.05,Gas Giant
Gamma Librae b,3.90672,324.36,85990.53,1.24,1.1367557,0.21,Gas Giant
Gamma Librae c,3.90672,1456.44,80397.65,2.17,2.6,0.06,Gas Giant
Gamma Piscium b,3.69252,426.12,85291.42,1.32,1.5,0.2,Gas Giant
GJ 1002 b,13.76,1.08,6562.13,0.0457,0.028199865,0.0,Super Earth
GJ 1002 c,13.76,1.36,7008.1,0.0738,0.05804244,0.0,Super Earth
GJ 1061 b,12.7,1.37,7008.1,0.021,0.008761123,0.31,Super Earth
GJ 1061 c,12.7,1.74,7517.78,0.035,0.0183436,0.29,Super Earth
GJ 1061 d,12.7,1.64,7390.36,0.054,0.03559206,0.53,Super Earth
GJ 1132 b,13.68,1.66,7199.23,0.0153,0.0043805614,0.22,Super Earth
GJ 1132 c,13.68,2.64,9110.529999999999,0.0476,0.02436687,0.27,Super Earth
GJ 1148 b,11.939,96.75150000000001,74804.77,0.166,0.113347024,0.38,Gas Giant
GJ 1148 c,11.939,68.09652,60542.926,0.912,1.5,0.34,Gas Giant
GJ 1151 c,13.76,10.62,20274.19,0.5714,1.0669404,0.0,Neptune-like
GJ 1214 b,15.1,8.17,17128.195,0.0149,0.0043805614,0.063,Neptune-like
GJ 1252 b,12.68,1.32,7517.78,0.00915,0.0013689254,0.0,Super Earth
GJ 1265 b,14.01,7.4,16359.174,0.026,0.010130048,0.04,Neptune-like
GJ 143 b,8.08,22.7,16289.263,0.1915,0.09746748,0.19,Neptune-like
GJ 15 A b,8.09,3.03,9875.050000000001,0.072,0.031211497,0.09,Super Earth
GJ 15 A c,8.09,36.0,41597.045,5.4,20.8,0.27,Neptune-like
GJ 160.2 b,9.7,10.2,19784.813,0.053,0.014236824,0.06,Neptune-like
GJ 163 b,11.79,10.6,20274.19,0.0607,0.023545519,0.07,Neptune-like
GJ 163 c,11.79,6.8,15590.153,0.1254,0.07008898,0.1,Neptune-like
GJ 163 d,11.79,29.4,36913.008,1.0304,1.7,0.37,Neptune-like
GJ 179 b,11.963,260.76,86689.64,2.41,6.3,0.21,Gas Giant
GJ 180 b,10.914,6.49,15170.687,0.092,0.04681725,0.07,Neptune-like
GJ 180 c,10.914,6.4,15030.865,0.129,0.06652977,0.09,Neptune-like
