nom,masse,rayon,periodeOrbite,type
11 Comae Berenices b,6169.2,75503.88,0.8925394,Geante gazeuse
11 Ursae Minoris b,4687.32,76202.99,1.4,Geante gazeuse
14 Andromedae b,1526.3999999999999,80397.65,0.5086927,Geante gazeuse
14 Herculis b,2588.14158,78300.32,4.8,Geante gazeuse
16 Cygni B b,566.04,83893.2,2.2,Geante gazeuse
17 Scorpii b,1373.76,80397.65,1.6,Geante gazeuse
18 Delphini b,3275.4,77601.21,2.7,Geante gazeuse
1RXS J160929.1-210524 b,2544.0,116331.904,6505.9,Geante gazeuse
24 Bootis b,289.38,86689.64,0.08323066,Geante gazeuse
24 Sextantis b,632.82,83194.09,1.2396988,Geante gazeuse
24 Sextantis c,273.48,86689.64,2.4,Geante gazeuse
2M0437 b,1272.0,81096.76,3110.6,Geante gazeuse
2MASS J01033563-5515561 AB b,4134.0,76902.1,1767.2,Geante gazeuse
2MASS J01225093-2439505 b,7791.0,69911.0,593.2,Geante gazeuse
2MASS J02192210-3925225 b,4420.2,100671.84,5878.1,Geante gazeuse
2MASS J04414489+2301513 b,2385.0,78999.43,411.0,Geante gazeuse
2MASS J12073346-3932539 b,1590.0,80397.65,2885.9,Geante gazeuse
2MASS J19383260+4603591 b,604.1999999999999,83893.2,1.1115674,Geante gazeuse
2MASS J22362452+4751425 b,3975.0,76902.1,4505.7,Geante gazeuse
30 Arietis B b,4394.76,76902.1,0.9174538,Geante gazeuse
42 Draconis b,1233.84,81096.76,1.3117043,Geante gazeuse
47 Ursae Majoris b,804.54,82494.98,3.0,Geante gazeuse
47 Ursae Majoris c,171.72,88786.97,6.6,Geante gazeuse
47 Ursae Majoris d,521.52,83893.2,38.4,Geante gazeuse
4 Ursae Majoris b,2257.7999999999997,78999.43,0.7373032,Geante gazeuse
51 Eridani b,636.0,83194.09,32.0,Geante gazeuse
51 Pegasi b,146.28,88786.97,0.011498973,Geante gazeuse
55 Cancri b,264.1308,86689.64,0.040246405,Geante gazeuse
55 Cancri c,54.5052,53132.36,0.12156058,Geante gazeuse
55 Cancri d,1233.204,81096.76,15.3,Geante gazeuse
55 Cancri e,7.99,11945.625,0.0019164955,Super Terre
55 Cancri f,44.837999999999994,47329.747,0.7115674,Geante gazeuse
61 Virginis b,5.1,13442.81,0.011498973,Geante de glace
61 Virginis c,18.2,27824.578,0.10403833,Geante de glace
61 Virginis d,22.9,31879.416,0.33675563,Geante de glace
6 Lyncis b,639.18,83194.09,2.6,Geante gazeuse
70 Virginis b,2381.82,78999.43,0.31950718,Geante gazeuse
75 Ceti b,954.0,81795.87,1.9,Geante gazeuse
7 Canis Majoris b,588.3000000000001,83893.2,2.0,Geante gazeuse
7 Canis Majoris c,276.66,86689.64,2.7,Geante gazeuse
81 Ceti b,1685.3999999999999,79698.54,2.6,Geante gazeuse
8 Ursae Minoris b,416.58000000000004,85291.42,0.25571528,Geante gazeuse
91 Aquarii b,1017.6,81795.87,0.4966461,Geante gazeuse
AB Aurigae b,2862.0,78300.32,587.7,Geante gazeuse
AB Pictoris b,4293.0,76902.1,4421.7,Geante gazeuse
Alpha Arietis b,572.4,83893.2,1.0425736,Geante gazeuse
Alpha Tauri b,2057.46,78999.43,1.7,Geante gazeuse
AU Microscopii b,20.12,25377.693,0.023271732,Geante de glace
AU Microscopii c,9.6,20204.279,0.051745377,Geante de glace
b Centauri AB b,3466.2000000000003,77601.21,4904.1,Geante gazeuse
BD-00 4475 b,7965.900000000001,74804.77,2.0,Geante gazeuse
BD+03 2562 b,2035.2,78999.43,1.3193703,Geante gazeuse
BD-06 1339 b,8.5,17757.394,0.010677618,Geante de glace
BD-06 1339 c,54.06,52223.517,0.34469542,Geante gazeuse
BD-08 2823 b,12.7132,22511.342,0.015331964,Geante de glace
BD-08 2823 c,104.94000000000001,77601.21,0.65051335,Geante gazeuse
BD-10 3166 b,187.61999999999998,88087.86,0.009582478,Geante gazeuse
BD-11 4672 b,206.70000000000002,87388.75,4.5,Geante gazeuse
BD-11 4672 c,15.37,25167.96,0.20314851,Geante de glace
BD-13 2130 b,3110.04,77601.21,2.0,Geante gazeuse
BD+14 4559 b,330.72,85990.53,0.7362081,Geante gazeuse
BD+15 2375 b,337.39799999999997,85990.53,0.41943872,Geante gazeuse
BD+15 2940 b,352.98,85990.53,0.37645447,Geante gazeuse
BD-17 63 b,1621.8,80397.65,1.8,Geante gazeuse
BD+20 2457 b,17677.620000000003,72008.33,1.0392882,Geante gazeuse
BD+20 2457 c,3965.46,76902.1,1.7,Geante gazeuse
BD+20 274 b,1335.6000000000001,81096.76,1.6,Geante gazeuse
BD+20 594 b,22.2481,16079.53,0.11416838,Geante de glace
BD+45 564 b,432.48,84592.31,0.84298426,Geante gazeuse
BD+48 738 b,289.38,86689.64,1.0748802,Geante gazeuse
BD+48 740 b,540.6,83893.2,2.0,Geante gazeuse
BD+49 828 b,508.8,84592.31,7.1,Geante gazeuse
BD+55 362 b,228.95999999999998,87388.75,0.7271732,Geante gazeuse
BD+60 1417 b,4770.0,91583.41,67794.6,Geante gazeuse
BD+63 1405 b,1259.28,81096.76,3.3,Geante gazeuse
Beta Cancri b,2480.4,78300.32,1.7,Geante gazeuse
Beta Pictoris b,3731.13534,115353.15,23.6,Geante gazeuse
Beta Pictoris c,3224.8761600000003,77601.21,3.3,Geante gazeuse
Beta Ursae Minoris b,1939.8,79698.54,1.4,Geante gazeuse
CD Ceti b,3.95,11595.220000000001,0.0062970566,Super Terre
CFBDSIR J145829+101343 b,3339.0,77601.21,27.5,Geante gazeuse
CFHTWIR-Oph 98 b,2480.4,130034.46,22027.4,Geante gazeuse
CHXR 73 b,3996.9420000000005,76902.1,5146.9,Geante gazeuse
