nom,masse,rayon,rayonOrbite,periodeOrbite,type
11 Comae Berenices b,6169.2,75503.88,1.29,0.8925394,Gas Giant
11 Ursae Minoris b,4687.32,76202.99,1.53,1.4,Gas Giant
14 Andromedae b,1526.3999999999999,80397.65,0.83,0.5086927,Gas Giant
14 Herculis b,2588.14158,78300.32,2.773069,4.8,Gas Giant
16 Cygni B b,566.04,83893.2,1.66,2.2,Gas Giant
17 Scorpii b,1373.76,80397.65,1.45,1.6,Gas Giant
18 Delphini b,3275.4,77601.21,2.6,2.7,Gas Giant
1RXS J160929.1-210524 b,2544.0,116331.904,330.0,6505.9,Gas Giant
24 Bootis b,289.38,86689.64,0.19,0.08323066,Gas Giant
24 Sextantis b,632.82,83194.09,1.333,1.2396988,Gas Giant
24 Sextantis c,273.48,86689.64,2.08,2.4,Gas Giant
2M0437 b,1272.0,81096.76,118.0,3110.6,Gas Giant
2MASS J01033563-5515561 AB b,4134.0,76902.1,84.0,1767.2,Gas Giant
2MASS J01225093-2439505 b,7791.0,69911.0,52.0,593.2,Gas Giant
2MASS J02192210-3925225 b,4420.2,100671.84,156.0,5878.1,Gas Giant
2MASS J04414489+2301513 b,2385.0,78999.43,15.0,411.0,Gas Giant
2MASS J12073346-3932539 b,1590.0,80397.65,55.0,2885.9,Gas Giant
2MASS J19383260+4603591 b,604.1999999999999,83893.2,0.92,1.1115674,Gas Giant
2MASS J22362452+4751425 b,3975.0,76902.1,230.0,4505.7,Gas Giant
30 Arietis B b,4394.76,76902.1,0.99,0.9174538,Gas Giant
42 Draconis b,1233.84,81096.76,1.19,1.3117043,Gas Giant
47 Ursae Majoris b,804.54,82494.98,2.1,3.0,Gas Giant
47 Ursae Majoris c,171.72,88786.97,3.6,6.6,Gas Giant
47 Ursae Majoris d,521.52,83893.2,11.6,38.4,Gas Giant
4 Ursae Majoris b,2257.7999999999997,78999.43,0.87,0.7373032,Gas Giant
51 Eridani b,636.0,83194.09,13.2,32.0,Gas Giant
51 Pegasi b,146.28,88786.97,0.0527,0.011498973,Gas Giant
55 Cancri b,264.1308,86689.64,0.1134,0.040246405,Gas Giant
55 Cancri c,54.5052,53132.36,0.2373,0.12156058,Gas Giant
55 Cancri d,1233.204,81096.76,5.957,15.3,Gas Giant
55 Cancri e,7.99,11945.625,0.01544,0.0019164955,Super Earth
55 Cancri f,44.837999999999994,47329.747,0.7708,0.7115674,Gas Giant
61 Virginis b,5.1,13442.81,0.050201,0.011498973,Neptune-like
61 Virginis c,18.2,27824.578,0.2175,0.10403833,Neptune-like
61 Virginis d,22.9,31879.416,0.476,0.33675563,Neptune-like
6 Lyncis b,639.18,83194.09,2.11,2.6,Gas Giant
70 Virginis b,2381.82,78999.43,0.481,0.31950718,Gas Giant
75 Ceti b,954.0,81795.87,2.1,1.9,Gas Giant
7 Canis Majoris b,588.3000000000001,83893.2,1.758,2.0,Gas Giant
7 Canis Majoris c,276.66,86689.64,2.153,2.7,Gas Giant
81 Ceti b,1685.3999999999999,79698.54,2.5,2.6,Gas Giant
8 Ursae Minoris b,416.58000000000004,85291.42,0.49,0.25571528,Gas Giant
91 Aquarii b,1017.6,81795.87,0.7,0.4966461,Gas Giant
AB Aurigae b,2862.0,78300.32,93.9,587.7,Gas Giant
AB Pictoris b,4293.0,76902.1,260.0,4421.7,Gas Giant
Alpha Arietis b,572.4,83893.2,1.2,1.0425736,Gas Giant
Alpha Tauri b,2057.46,78999.43,1.46,1.7,Gas Giant
AU Microscopii b,20.12,25377.693,0.0645,0.023271732,Neptune-like
AU Microscopii c,9.6,20204.279,0.1101,0.051745377,Neptune-like
b Centauri AB b,3466.2000000000003,77601.21,556.0,4904.1,Gas Giant
BD-00 4475 b,7965.900000000001,74804.77,1.48,2.0,Gas Giant
BD+03 2562 b,2035.2,78999.43,1.3,1.3193703,Gas Giant
BD-06 1339 b,8.5,17757.394,0.0428,0.010677618,Neptune-like
BD-06 1339 c,54.06,52223.517,0.435,0.34469542,Gas Giant
BD-08 2823 b,12.7132,22511.342,0.06,0.015331964,Neptune-like
BD-08 2823 c,104.94000000000001,77601.21,0.68,0.65051335,Gas Giant
BD-10 3166 b,187.61999999999998,88087.86,0.04,0.009582478,Gas Giant
BD-11 4672 b,206.70000000000002,87388.75,2.36,4.5,Gas Giant
BD-11 4672 c,15.37,25167.96,0.3,0.20314851,Neptune-like
BD-13 2130 b,3110.04,77601.21,1.66,2.0,Gas Giant
BD+14 4559 b,330.72,85990.53,0.78,0.7362081,Gas Giant
BD+15 2375 b,337.39799999999997,85990.53,0.576,0.41943872,Gas Giant
BD+15 2940 b,352.98,85990.53,0.539,0.37645447,Gas Giant
BD-17 63 b,1621.8,80397.65,1.34,1.8,Gas Giant
BD+20 2457 b,17677.620000000003,72008.33,1.05,1.0392882,Gas Giant
BD+20 2457 c,3965.46,76902.1,2.01,1.7,Gas Giant
BD+20 274 b,1335.6000000000001,81096.76,1.3,1.6,Gas Giant
BD+20 594 b,22.2481,16079.53,0.241,0.11416838,Neptune-like
BD+45 564 b,432.48,84592.31,0.83,0.84298426,Gas Giant
BD+48 738 b,289.38,86689.64,1.0,1.0748802,Gas Giant
BD+48 740 b,540.6,83893.2,1.7,2.0,Gas Giant
BD+49 828 b,508.8,84592.31,4.2,7.1,Gas Giant
BD+55 362 b,228.95999999999998,87388.75,0.78,0.7271732,Gas Giant
BD+60 1417 b,4770.0,91583.41,1662.0,67794.6,Gas Giant
BD+63 1405 b,1259.28,81096.76,2.06,3.3,Gas Giant
Beta Cancri b,2480.4,78300.32,1.7,1.7,Gas Giant
Beta Pictoris b,3731.13534,115353.15,10.019926,23.6,Gas Giant
Beta Pictoris c,3224.8761600000003,77601.21,2.680483,3.3,Gas Giant
Beta Ursae Minoris b,1939.8,79698.54,1.4,1.4,Gas Giant
CD Ceti b,3.95,11595.220000000001,0.0185,0.0062970566,Super Earth
CFBDSIR J145829+101343 b,3339.0,77601.21,2.6,27.5,Gas Giant
CFHTWIR-Oph 98 b,2480.4,130034.46,200.0,22027.4,Gas Giant
CHXR 73 b,3996.9420000000005,76902.1,210.0,5146.9,Gas Giant
COCONUTS-2 b,2003.3999999999999,77601.21,7506.0,1101369.9,Gas Giant
CoRoT-10 b,874.5,67813.67,0.1055,0.03613963,Gas Giant
CoRoT-11 b,740.94,99972.73,0.0436,0.008213553,Gas Giant
CoRoT-12 b,291.606,100671.84,0.04016,0.007665982,Gas Giant
CoRoT-13 b,415.944,61871.235,0.051,0.0109514035,Gas Giant
CoRoT-14 b,2416.7999999999997,76202.99,0.027,0.0041067763,Gas Giant
CoRoT-16 b,170.13000000000002,81795.87,0.0618,0.014784395,Gas Giant
CoRoT-17 b,772.74,71309.22,0.0461,0.010403832,Gas Giant
CoRoT-18 b,1103.46,91583.41,0.0295,0.005201916,Gas Giant
CoRoT-19 b,352.98,90185.19,0.0518,0.010677618,Gas Giant
CoRoT-1 b,327.54,104167.39,0.02752,0.0041067763,Gas Giant
CoRoT-20 b,1367.3999999999999,58725.24,0.09,0.025188226,Gas Giant
CoRoT-20 c,5406.0,76202.99,2.9,4.6,Gas Giant
CoRoT-21 b,718.68,90884.3,0.0417,0.0073921974,Gas Giant
CoRoT-22 b,12.2,30411.285,0.092,0.026830938,Neptune-like
CoRoT-23 b,890.4,73406.55,0.048,0.009856262,Gas Giant
CoRoT-24 b,5.7,23070.63,0.056,0.013963039,Neptune-like
CoRoT-24 c,28.0,30760.84,0.098,0.03230664,Neptune-like
CoRoT-25 b,85.86,75503.88,0.0578,0.013415469,Gas Giant
CoRoT-26 b,165.36,88087.86,0.0526,0.011498973,Gas Giant
CoRoT-27 b,3304.02,70400.377,0.0476,0.009856262,Gas Giant
CoRoT-28 b,153.912,66765.00499999999,0.0603,0.014236824,Gas Giant
CoRoT-29 b,270.3,62919.9,0.0386,0.007939767,Gas Giant
CoRoT-2 b,1103.46,102489.526,0.02798,0.0046543465,Gas Giant
CoRoT-30 b,922.1999999999999,70540.199,0.0844,0.024914443,Gas Giant
CoRoT-31 b,267.12,102070.06,0.0586,0.012594113,Gas Giant
CoRoT-35 b,349.8,117450.48,0.0429,0.008761123,Gas Giant
CoRoT-36 b,216.24,98574.51,0.066,0.015331964,Gas Giant
CoRoT-3 b,6887.88,70610.11,0.05783,0.011772759,Gas Giant
CoRoT-4 b,228.95999999999998,83194.09,0.09,0.025188226,Gas Giant
CoRoT-5 b,148.506,97036.468,0.04947,0.0109514035,Gas Giant
